Team,Year,Player,Salary
BOS,1992,Larry Bird,7070000
BOS,1992,Kevin McHale,3500000
BOS,1992,Reggie Lewis,3340000
BOS,1992,Robert Parish,3000000
BOS,1992,Kevin Gamble,1400000
BOS,1992,Brian Shaw,1313000
BOS,1992,Joe Kleine,950000
BOS,1992,Ed Pinckney,900000
BOS,1992,Dee Brown,705000
BOS,1992,Stojko Vrankovic,665000
BOS,1992,Michael Smith,625000
BOS,1992,John Bagley,550000
BOS,1992,Rick Fox,525000
BOS,1992,Rickey Green,315000
BOS,1992,Jim Paxson,225000
BOS,1992,Kevin Pritchard,130000
BOS,1992,A.J. Wynder,130000
NYK,1992,Patrick Ewing,3139000
NYK,1992,Xavier McDaniel,1625000
NYK,1992,Mark Jackson,1250000
NYK,1992,Charles Oakley,1050000
NYK,1992,Kiki Vandeweghe,1020000
NYK,1992,Greg Anthony,865000
NYK,1992,Tim McCormick,825000
NYK,1992,Gerald Wilkins,795000
NYK,1992,Stuart Gray,520000
NYK,1992,Brian Quinnett,450000
NYK,1992,John Starks,400000
NYK,1992,Anthony Mason,210000
NYK,1992,Patrick Eddie,130000
NYK,1992,Kennard Winchester,120000
NJN,1992,Derrick Coleman,2300000
NJN,1992,Sam Bowie,2000000
NJN,1992,Kenny Anderson,1828000
NJN,1992,Drazen Petrovic,1375000
NJN,1992,Chris Dudley,1000000
NJN,1992,Roy Hinson,943000
NJN,1992,Terry Mills,850000
NJN,1992,Chris Morris,650000
NJN,1992,Mookie Blaylock,575000
NJN,1992,Tate George,481000
NJN,1992,Rafael Addison,311000
NJN,1992,Doug Lee,150000
NJN,1992,Dave Feitl,135000
MIA,1992,Steve Smith,2250000
MIA,1992,Rony Seikaly,2002000
MIA,1992,Willie Burton,1402000
MIA,1992,Glen Rice,1302000
MIA,1992,Sherman Douglas,1250000
MIA,1992,Alec Kessler,1122000
MIA,1992,Kevin Edwards,600000
MIA,1992,Jeff Sanders,385000
MIA,1992,Jon Sundvold,333000
MIA,1992,Grant Long,252000
MIA,1992,Bimbo Coles,212000
MIA,1992,Keith Askins,202000
MIA,1992,Alan Ogg,202000
PHI,1992,Charles Barkley,3200000
PHI,1992,Johnny Dawkins,1700000
PHI,1992,Manute Bol,1350000
PHI,1992,Armen Gilliam,1350000
PHI,1992,Charles Shackleford,1332000
PHI,1992,Ron Anderson,1000000
PHI,1992,Hersey Hawkins,805000
PHI,1992,Jayson Williams,650000
PHI,1992,Dave Hoppen,500000
PHI,1992,Brian Oliver,456000
PHI,1992,Andrew Toney,450000
PHI,1992,Kenny Payne,410000
PHI,1992,Mitchell Wiggins,335000
PHI,1992,Rickey Green,130000
PHI,1992,Tharon Mayes,130000
PHI,1992,Robert Reid,130000
PHI,1992,Derek Strong,130000
WSB,1992,Bernard King,2525000
WSB,1992,Pervis Ellison,2300000
WSB,1992,Michael Adams,1309000
WSB,1992,John Williams,1100000
WSB,1992,Tom Hammonds,825000
WSB,1992,Ledell Eackles,780000
WSB,1992,Charles Jones,750000
WSB,1992,LaBradford Smith,620000
WSB,1992,Mark Alarie,550000
WSB,1992,Harvey Grant,450000
WSB,1992,Greg Foster,339000
WSB,1992,A.J. English,325000
WSB,1992,David Wingate,250000
WSB,1992,Haywoode Workman,250000
WSB,1992,Larry Stewart,130000
WSB,1992,Andre Turner,130000
ORL,1992,Dennis Scott,1980000
ORL,1992,Scott Skiles,1925000
ORL,1992,Terry Catledge,1386000
ORL,1992,Jerry Reynolds,1300000
ORL,1992,Sam Vincent,1260000
ORL,1992,Bison Dele,777000
ORL,1992,Nick Anderson,750000
ORL,1992,Greg Kite,700000
ORL,1992,Stanley Roberts,550000
ORL,1992,Jeff Turner,550000
ORL,1992,Mark Acres,547000
ORL,1992,Otis Smith,525000
CHI,1992,Michael Jordan,3250000
CHI,1992,Scottie Pippen,2770000
CHI,1992,Bill Cartwright,2000000
CHI,1992,Horace Grant,1750000
CHI,1992,John Paxson,1600000
CHI,1992,Cliff Levingston,1350000
CHI,1992,Stacey King,1100000
CHI,1992,Craig Hodges,700000
CHI,1992,Bob Hansen,600000
CHI,1992,Will Perdue,500000
CHI,1992,B.J. Armstrong,435000
CHI,1992,Scott Williams,350000
CHI,1992,Mark Randall,180000
CHI,1992,Rory Sparrow,126000
CHI,1992,Chuck Nevitt,118000
CLE,1992,Hot Rod Williams,3786000
CLE,1992,Danny Ferry,2843000
CLE,1992,Brad Daugherty,2245000
CLE,1992,Mark Price,1520000
CLE,1992,Larry Nance,1363000
CLE,1992,Craig Ehlo,925000
CLE,1992,John Battle,700000
CLE,1992,Chucky Brown,640000
CLE,1992,Steve Kerr,553000
CLE,1992,Winston Bennett,525000
CLE,1992,Terrell Brandon,525000
CLE,1992,Henry James,477000
CLE,1992,John Morton,450000
CLE,1992,Jimmy Oliver,200000
CLE,1992,Darnell Valentine,130000
DET,1992,Isiah Thomas,2960000
DET,1992,John Salley,2000000
DET,1992,Vinnie Johnson,1450000
DET,1992,Bill Laimbeer,1369000
DET,1992,Joe Dumars,1295000
DET,1992,Mark Aguirre,1232000
DET,1992,Dennis Rodman,1075000
DET,1992,Orlando Woolridge,957000
DET,1992,William Bedford,900000
DET,1992,Darrell Walker,665000
DET,1992,Brad Sellers,600000
DET,1992,Lance Blanks,415000
DET,1992,Mark Hughes,250000
DET,1992,Bob McCann,130000
DET,1992,Charles Thomas,130000
IND,1992,Reggie Miller,3211000
IND,1992,Chuck Person,2156000
IND,1992,LaSalle Thompson,2000000
IND,1992,Rik Smits,1350000
IND,1992,Detlef Schrempf,1278000
IND,1992,George McCloud,990000
IND,1992,Mike Sanders,860000
IND,1992,Vern Fleming,760000
IND,1992,Greg Dreiling,600000
IND,1992,Randy Wittman,550000
IND,1992,Micheal Williams,500000
IND,1992,Dale Davis,430000
IND,1992,Kenny Williams,275000
IND,1992,Sean Green,130000
ATL,1992,Dominique Wilkins,3100000
ATL,1992,Jon Koncak,2000000
ATL,1992,Blair Rasmussen,1558000
ATL,1992,Rumeal Robinson,1025000
ATL,1992,Maurice Cheeks,1000000
ATL,1992,Travis Mays,1000000
ATL,1992,Stacey Augmon,875000
ATL,1992,Kevin Willis,725000
ATL,1992,Alexander Volkov,675000
ATL,1992,Duane Ferrell,500000
ATL,1992,Rodney Monroe,217000
ATL,1992,Gary Leonard,130000
ATL,1992,Paul Graham,125000
MIL,1992,Moses Malone,1600000
MIL,1992,Danny Schayes,1600000
MIL,1992,Brad Lohaus,1377000
MIL,1992,Dale Ellis,1300000
MIL,1992,Frank Brickowski,1055000
MIL,1992,Alvin Robertson,1033000
MIL,1992,Jeff Grayer,950000
