Year,Div,Team,Wins,Team_Salary
1991,East,BOS,56,11256000
1991,East,PHI,44,11640000
1991,East,NYK,39,13290000
1991,East,WSB,30,9610000
1991,East,NJN,26,11410000
1991,East,MIA,24,8510000
1991,East,CHI,61,10040000
1991,East,DET,50,12910000
1991,East,MIL,48,11595000
1991,East,ATL,43,11761000
1991,East,IND,41,10981000
1991,East,CLE,33,14403000
1991,East,CHH,26,10417000
1991,West,SAS,55,11057000
1991,West,UTA,54,10695000
1991,West,HOU,52,10500000
1991,West,ORL,31,7532000
1991,West,MIN,29,7540000
1991,West,DAL,28,11693000
1991,West,DEN,20,10335000
1991,West,POR,63,11215000
1991,West,LAL,58,12120000
1991,West,PHO,55,11463000
1991,West,GSW,44,11150000
1991,West,SEA,41,10590000
1991,West,LAC,31,10245000
1991,West,SAC,25,9605000
1992,East,BOS,51,25343000
1992,East,NYK,51,12399000
1992,East,NJN,40,12598000
1992,East,MIA,38,11514000
1992,East,PHI,35,14058000
1992,East,WSB,25,12633000
1992,East,ORL,21,12250000
1992,East,CHI,67,16829000
1992,East,CLE,57,16882000
1992,East,DET,48,15428000
1992,East,IND,40,15090000
1992,East,ATL,38,12930000
1992,East,MIL,31,12451000
1992,East,CHH,31,12625000
1992,West,UTA,55,12761000
1992,West,SAS,47,11587000
1992,West,HOU,42,13274000
1992,West,DEN,24,11879000
1992,West,DAL,22,13004000
1992,West,MIN,15,10763000
1992,West,POR,57,12742000
1992,West,GSW,55,12500000
1992,West,PHO,53,13593000
1992,West,SEA,47,13308000
1992,West,LAC,45,12976000
1992,West,LAL,43,15673000
1992,West,SAC,29,12492000
1993,East,NYK,60,14001000
1993,East,BOS,48,25217000
1993,East,NJN,43,16314000
1993,East,ORL,41,14970000
1993,East,MIA,36,15125000
1993,East,PHI,26,17367000
1993,East,WSB,22,17249000
1993,East,CHI,57,18536000
1993,East,CLE,54,19676000
1993,East,CHH,44,14150000
1993,East,ATL,43,18036000
1993,East,IND,41,16268000
1993,East,DET,40,13954000
1993,East,MIL,28,14032000
1993,West,HOU,55,15877000
1993,West,SAS,49,18083000
1993,West,UTA,47,14517000
1993,West,DEN,36,13776180
1993,West,MIN,19,13732000
1993,West,DAL,11,10859000
1993,West,PHO,62,14280000
1993,West,SEA,55,14033000
1993,West,POR,51,16369000
1993,West,LAC,41,14288000
1993,West,LAL,39,18851000
1993,West,GSW,34,15473000
1993,West,SAC,25,13953000
1994,East,NYK,57,22109000
1994,East,ORL,50,19939000
1994,East,NJN,45,20107000
1994,East,MIA,42,17811000
1994,East,BOS,32,17881000
1994,East,PHI,25,15354000
1994,East,WSB,24,16240000
1994,East,ATL,57,22510000
1994,East,CHI,55,18531000
1994,East,IND,47,17196000
1994,East,CLE,47,23711000
1994,East,CHH,41,17952000
1994,East,MIL,20,14889000
1994,East,DET,20,15826000
1994,West,HOU,58,16757000
1994,West,SAS,55,19316365
1994,West,UTA,53,16990000
1994,West,DEN,42,16110000
1994,West,MIN,20,15496000
1994,West,DAL,13,14321000
1994,West,SEA,63,15967000
1994,West,PHO,56,21485000
1994,West,GSW,50,19239000
1994,West,POR,47,23534000
1994,West,LAL,33,23478000
1994,West,SAC,28,17397000
1994,West,LAC,27,20188000
1995,East,ORL,57,29069916
1995,East,NYK,55,25748900
1995,East,BOS,35,21162000
1995,East,MIA,32,20142000
1995,East,NJN,30,23121800
1995,East,PHI,24,19709510
1995,East,WSB,21,17049750
1995,East,IND,52,24918500
1995,East,CHH,50,19346658
1995,East,CHI,47,21653129
1995,East,CLE,43,28106000
1995,East,ATL,42,21869340
1995,East,MIL,34,16256960
1995,East,DET,28,14798700
1995,West,SAS,62,22721982
1995,West,UTA,60,18315950
1995,West,HOU,47,17578600
1995,West,DEN,41,19925500
1995,West,DAL,36,18053100
1995,West,MIN,21,17673260
1995,West,PHO,59,23170884
1995,West,SEA,57,24073500
1995,West,LAL,48,20158300
1995,West,POR,44,26658000
1995,West,SAC,39,20209000
1995,West,GSW,26,19797300
1995,West,LAC,17,17876700
1996,East,ORL,60,30397000
1996,East,NYK,47,38577000
1996,East,MIA,42,20482000
1996,East,WSB,39,21774000
1996,East,BOS,33,18229000
1996,East,NJN,30,22555000
1996,East,PHI,18,17408000
1996,East,CHI,72,23177000
1996,East,IND,52,23499000
1996,East,CLE,47,25730000
1996,East,ATL,46,21702000
1996,East,DET,46,23713000
1996,East,CHH,41,21829000
1996,East,MIL,25,23011000
1996,East,TOR,21,17205000
1996,West,SAS,59,25448000
1996,West,UTA,55,21111000
1996,West,HOU,48,24814000
1996,West,DEN,35,19778000
1996,West,MIN,26,22192000
1996,West,DAL,26,21753000
1996,West,VAN,15,17498000
1996,West,SEA,64,25852000
1996,West,LAL,53,19783000
1996,West,POR,44,23201000
1996,West,PHO,41,34925000
1996,West,SAC,39,24156000
1996,West,GSW,36,22177000
1996,West,LAC,29,21150000
1997,East,MIA,61,22421000
1997,East,NYK,57,25923500
1997,East,ORL,45,40149100
1997,East,WSB,44,34940000
1997,East,NJN,26,25426600
1997,East,PHI,22,20369500
1997,East,BOS,15,25853500
1997,East,CHI,69,58270000
1997,East,ATL,56,25806100
1997,East,DET,54,26848500
1997,East,CHH,54,20490500
1997,East,CLE,42,18867500
1997,East,IND,39,39480000
1997,East,MIL,33,24222500
1997,East,TOR,30,18633900
1997,West,UTA,64,25267000
1997,West,HOU,57,26275000
1997,West,MIN,40,24100500
1997,West,DAL,24,26107500
1997,West,DEN,21,21243300
1997,West,SAS,20,30785500
1997,West,VAN,14,15978000
1997,West,SEA,57,30301500
1997,West,LAL,56,28838500
1997,West,POR,49,24903500
1997,West,PHO,40,36140000
1997,West,LAC,36,23336500
1997,West,SAC,34,27820200
1997,West,GSW,30,30867000
1998,East,MIA,55,34641186
1998,East,NYK,43,53974881
1998,East,NJN,43,28504567
1998,East,WAS,42,40718075
1998,East,ORL,41,43954299
1998,East,BOS,36,26800500
1998,East,PHI,31,28620520
1998,East,CHI,62,61330670
1998,East,IND,58,39162273
1998,East,CHH,51,27006013
1998,East,ATL,50,30133827
1998,East,CLE,47,26677290
1998,East,DET,37,24876625
1998,East,MIL,36,25919828
1998,East,TOR,16,24748905
1998,West,UTA,62,28505442
1998,West,SAS,56,38846163
1998,West,MIN,45,27787780
1998,West,HOU,41,28086350
1998,West,DAL,20,27268948
1998,West,VAN,19,23123350
1998,West,DEN,11,26518960
1998,West,SEA,61,37592175
1998,West,LAL,61,36304583
1998,West,PHO,56,36937876
