Year,Team,Playoffs
1996,CHI,5
1996,SEA,4
1996,ORL,3
1996,UTA,3
1996,NYK,2
1996,ATL,2
1996,HOU,2
1996,SAS,2
1996,IND,1
1996,MIA,1
1996,CLE,1
1996,DET,1
1996,LAL,1
1996,PHO,1
1996,SAC,1
1996,POR,1
1997,CHI,5
1997,UTA,4
1997,MIA,3
1997,HOU,3
1997,ATL,2
1997,NYK,2
1997,SEA,2
1997,LAL,2
1997,DET,1
1997,WSB,1
1997,ORL,1
1997,CHH,1
1997,MIN,1
1997,POR,1
1997,PHO,1
1997,LAC,1
1998,CHI,5
1998,UTA,4
1998,IND,3
1998,LAL,3
1998,CHH,2
1998,NYK,2
1998,SEA,2
1998,SAS,2
1998,ATL,1
1998,NJN,1
1998,CLE,1
1998,MIA,1
1998,POR,1
1998,PHO,1
1998,MIN,1
1998,HOU,1
1999,SAS,5
1999,NYK,4
1999,IND,3
1999,POR,3
1999,PHI,2
1999,ATL,2
1999,UTA,2
1999,LAL,2
1999,DET,1
1999,MIL,1
1999,MIA,1
1999,ORL,1
1999,HOU,1
1999,PHO,1
1999,MIN,1
1999,SAC,1
2000,LAL,5
2000,IND,4
2000,NYK,3
2000,POR,3
2000,PHI,2
2000,MIA,2
2000,PHO,2
2000,UTA,2
2000,MIL,1
2000,DET,1
2000,TOR,1
2000,CHH,1
2000,SAC,1
2000,SAS,1
2000,MIN,1
2000,SEA,1
2001,LAL,5
2001,PHI,4
2001,MIL,3
2001,SAS,3
2001,CHH,2
2001,TOR,2
2001,SAC,2
2001,DAL,2
2001,MIA,1
2001,ORL,1
2001,IND,1
2001,NYK,1
2001,UTA,1
2001,POR,1
2001,PHO,1
2001,MIN,1
2002,LAL,5
2002,NJN,4
2002,BOS,3
2002,SAC,3
2002,DET,2
2002,CHH,2
2002,SAS,2
2002,DAL,2
2002,PHI,1
2002,ORL,1
2002,TOR,1
2002,IND,1
2002,MIN,1
2002,POR,1
2002,UTA,1
2002,SEA,1
2003,SAS,5
2003,NJN,4
2003,DET,3
2003,DAL,3
2003,PHI,2
2003,BOS,2
2003,SAC,2
2003,LAL,2
2003,IND,1
2003,ORL,1
2003,MIL,1
