Year,Div,Team,Wins
1991,East,BOS,56
1991,East,PHI,44
1991,East,NYK,39
1991,East,WSB,30
1991,East,NJN,26
1991,East,MIA,24
1991,East,CHI,61
1991,East,DET,50
1991,East,MIL,48
1991,East,ATL,43
1991,East,IND,41
1991,East,CLE,33
1991,East,CHH,26
1991,West,SAS,55
1991,West,UTA,54
1991,West,HOU,52
1991,West,ORL,31
1991,West,MIN,29
1991,West,DAL,28
1991,West,DEN,20
1991,West,POR,63
1991,West,LAL,58
1991,West,PHO,55
1991,West,GSW,44
1991,West,SEA,41
1991,West,LAC,31
1991,West,SAC,25
1992,East,BOS,51
1992,East,NYK,51
1992,East,NJN,40
1992,East,MIA,38
1992,East,PHI,35
1992,East,WSB,25
1992,East,ORL,21
1992,East,CHI,67
1992,East,CLE,57
1992,East,DET,48
1992,East,IND,40
1992,East,ATL,38
1992,East,MIL,31
1992,East,CHH,31
1992,West,UTA,55
1992,West,SAS,47
1992,West,HOU,42
1992,West,DEN,24
1992,West,DAL,22
1992,West,MIN,15
1992,West,POR,57
1992,West,GSW,55
1992,West,PHO,53
1992,West,SEA,47
1992,West,LAC,45
1992,West,LAL,43
1992,West,SAC,29
1993,East,NYK,60
1993,East,BOS,48
1993,East,NJN,43
1993,East,ORL,41
1993,East,MIA,36
1993,East,PHI,26
1993,East,WSB,22
1993,East,CHI,57
1993,East,CLE,54
1993,East,CHH,44
1993,East,ATL,43
1993,East,IND,41
1993,East,DET,40
1993,East,MIL,28
1993,West,HOU,55
1993,West,SAS,49
1993,West,UTA,47
1993,West,DEN,36
1993,West,MIN,19
1993,West,DAL,11
1993,West,PHO,62
1993,West,SEA,55
1993,West,POR,51
1993,West,LAC,41
1993,West,LAL,39
1993,West,GSW,34
1993,West,SAC,25
1994,East,NYK,57
1994,East,ORL,50
1994,East,NJN,45
1994,East,MIA,42
1994,East,BOS,32
1994,East,PHI,25
1994,East,WSB,24
1994,East,ATL,57
1994,East,CHI,55
1994,East,IND,47
1994,East,CLE,47
1994,East,CHH,41
1994,East,MIL,20
1994,East,DET,20
1994,West,HOU,58
1994,West,SAS,55
1994,West,UTA,53
1994,West,DEN,42
1994,West,MIN,20
1994,West,DAL,13
1994,West,SEA,63
1994,West,PHO,56
1994,West,GSW,50
1994,West,POR,47
1994,West,LAL,33
1994,West,SAC,28
1994,West,LAC,27
1995,East,ORL,57
1995,East,NYK,55
1995,East,BOS,35
1995,East,MIA,32
1995,East,NJN,30
1995,East,PHI,24
1995,East,WSB,21
1995,East,IND,52
1995,East,CHH,50
1995,East,CHI,47
1995,East,CLE,43
1995,East,ATL,42
1995,East,MIL,34
1995,East,DET,28
1995,West,SAS,62
1995,West,UTA,60
1995,West,HOU,47
1995,West,DEN,41
1995,West,DAL,36
1995,West,MIN,21
1995,West,PHO,59
1995,West,SEA,57
1995,West,LAL,48
1995,West,POR,44
1995,West,SAC,39
1995,West,GSW,26
1995,West,LAC,17
